"Current_Player","Historical_Player","Historical_Year","Distance","Similarity_Score"
"Matthew Hurt","Lloyd Daniels",1995,0.504310988305651,93.51
"Gary Harris","Dee Brown",1998,0.505008437759443,93.6
"Wendell Carter Jr.","Richaun Holmes",2017,0.505154923055251,93.76
"Reggie Bullock","Jud Buechler",2001,0.505430653213542,93.56
"Dorian Finney-Smith","Tim Perry",1994,0.505652392610081,93.61
"Johnny Juzang","Joe Harris",2017,0.507164915261407,93.56
"Bogdan Bogdanović","Dan Majerle",1995,0.507291183754469,93.77
"Norman Powell","Dell Curry",1995,0.509375381677031,93.66
"Tyus Jones","Anthony Parker",2007,0.509869290518766,93.73
"Jeenathan Williams","Bobby Simmons",2002,0.509897568578345,93.57
"Harry Giles","Alton Ford",2004,0.509960045771268,93.54
"Coby White","Mike Miller",2007,0.509984447110734,93.71
"Hunter Tyson","Doug McDermott",2015,0.511630919220847,93.59
"Nikola Jović","Vladimir Radmanovic",2002,0.512409645451496,93.59
"Ausar Thompson","Trevor Booker",2012,0.512685238007374,93.52
"Gary Trent Jr.","C.J. Miles",2016,0.513296725485986,93.55
"Ricky Council IV","Corey Brewer",2011,0.514126569703072,93.73
"Aaron Nesmith","Wesley Person",1996,0.515790339772597,93.58
"Mikal Bridges","Glen Rice",1993,0.516013526156457,93.59
"Mike Muscala","George McCloud",1997,0.51705700913626,93.36
"Josh Hart","Al-Farouq Aminu",2016,0.517457512015883,93.51
"Monte Morris","Justin Holiday",2015,0.520762417202179,93.5
"Cam Whitmore","Vladimir Radmanovic",2003,0.52181708830589,93.48
"Moses Brown","Dewayne Dedmon",2014,0.521832987411193,93.33
"Obi Toppin","Kelly Olynyk",2017,0.522263666378146,93.53
"Khris Middleton","Goran Dragic",2016,0.522414003587866,93.54
"Taze Moore","Sundiata Gaines",2011,0.522766382746768,93.4
"Kobe Brown","Reggie Williams",2013,0.52336214028506,93.25
"Devonte' Graham","Keith Bogans",2009,0.523420119937693,93.33
"Sam Merrill","Martell Webster",2014,0.524298477754308,93.44
"GG Jackson II","Andrea Bargnani",2007,0.524796029959248,93.4
"D'Angelo Russell","Cuttino Mobley",2005,0.52519164301708,93.55
"Markieff Morris","Matt Bullard",1999,0.525283120618712,93.27
"DeJon Jarreau","Terrence Williams",2012,0.525355038281809,93.22
"RJ Barrett","Wally Szczerbiak",2007,0.528370135252474,93.38
"Santi Aldama","Matt Barnes",2007,0.52879413036414,93.35
"Alex Len","Joel Anthony",2013,0.529042009035628,93.43
"Udoka Azubuike","Antonio Lang",1999,0.529800546983577,93.33
"Jericho Sims","Larry Micheaux",1985,0.53026324147419,93.35
"Vit Krejci","Vladimir Radmanovic",2009,0.530621426862095,93.21
"Justin Holiday","Reggie Bullock",2017,0.530652713122207,93.27
"Xavier Moon","Darius Morris",2015,0.531149579244248,93.13
"Shaedon Sharpe","Kent Bazemore",2014,0.531527839181889,93.26
"Nathan Mensah","Brett Szabo",1997,0.53301575251517,92.9
"Joe Harris","Reggie Bullock",2015,0.535078736514942,93.16
"Amen Thompson","Josh McRoberts",2011,0.535272854240108,93.47
"Gui Santos","Jonas Jerebko",2015,0.535771224663033,93.31
"Jonathan Kuminga","Markieff Morris",2014,0.535932838270615,93.35
"Kobe Bufkin","Austin Rivers",2015,0.53618177614006,93.05
"Simone Fontecchio","Cuttino Mobley",2005,0.536872341766311,93.38
"Goga Bitadze","Will Perdue",1993,0.537000440766119,93.4
"David Roddy","Stephen Graham",2006,0.538984311918704,93.16
"Chris Livingston","J.R. Giddens",2010,0.539008668225553,93.14
"T.J. McConnell","Dell Curry",1991,0.54002182259475,93.42
"Jordan Ford","Stephen Graham",2008,0.54066780498853,93.43
"KJ Martin","Chris Johnson",2015,0.540963517970738,92.96
"Jaden Springer","Jamie Watson",1997,0.543401760114101,93.04
"Tre Jones","Donald Sloan",2015,0.544164438633609,93.21
"Théo Maledon","Glen Rice",2014,0.545722021884585,93.08
"Nate Hinton","Craig Ehlo",1986,0.545935230856202,93.32
"P.J. Washington","Rashard Lewis",2011,0.546100461637857,93.1
"Jared Rhoden","JaKarr Sampson",2016,0.546454526998057,93.04
"OG Anunoby","Terrence Ross",2017,0.546798632480236,93.19
"Austin Reaves","Steve Smith",1995,0.547197014723159,93.24
"AJ Griffin","Adam Harrington",2003,0.547690874725119,93.07
"Devin Vassell","Bradley Beal",2016,0.549261434869822,93.22
"Keon Ellis","Vladimir Radmanovic",2011,0.549318599243813,93.17
"Scotty Pippen Jr.","Sam Cassell",1997,0.551154383026767,93.21
"A.J. Green","James Jones",2016,0.551932737346131,93.01
"Payton Pritchard","Gary Neal",2011,0.552451371376658,93.19
"Bojan Bogdanović","Cuttino Mobley",2005,0.552676764383532,93.15
"Jerami Grant","Jeff Green",2015,0.553471857428636,93.16
"Matisse Thybulle","Wesley Johnson",2016,0.553557617742856,93.03
"Aleksej Pokusevski","Jamison Brewer",2005,0.555395038724909,92.86
"Caleb Houstan","Tim Hardaway",2016,0.556372025395456,92.92
"Noah Clowney","Richaun Holmes",2016,0.55855118771162,92.99
"Derrick White","Rashard Lewis",2010,0.560286664857619,93.18
"Mãozinha Pereira","Jason Thompson",2016,0.565363475282513,92.91
"Thaddeus Young","Mark Bryant",2002,0.565571574767789,92.93
"Jalen Pickett","Shelvin Mack",2013,0.565575666693683,92.75
"Juan Toscano-Anderson","Scott Padgett",2007,0.567742075866047,92.66
"Sam Hauser","Wayne Ellington",2017,0.567748457345647,92.91
"Cam Thomas","Zach LaVine",2017,0.568571974253365,92.96
"Day'Ron Sharpe","Jordan Hill",2013,0.569010236703261,92.94
"Dereon Seabron","Sean Singletary",2009,0.569357007511356,92.71
"Keegan Murray","Wesley Person",1997,0.569603158099598,92.94
"Ivica Zubac","Gheorghe Muresan",1997,0.571089752511581,93.05
"Andre Jackson Jr.","Kedrick Brown",2004,0.571775959639774,92.68
"Jacob Gilyard","Jon Barry",2001,0.572124898201185,92.78
"Robin Lopez","Matt Bullard",2002,0.572600575709311,92.55
"TyTy Washington Jr.","Jason Sasser",1997,0.572941176083563,92.66
"Grant Williams","Jordan Hamilton",2016,0.573551951054459,92.82
"Harrison Barnes","Morris Peterson",2007,0.573661065081702,92.77
"Moritz Wagner","Richaun Holmes",2017,0.574049154237869,93.03
"Eric Gordon","Kyle Korver",2017,0.575225811714791,92.76
"Malcolm Cazalon","Dan Godfread",1992,0.575673919104535,92.8
"Tosan Evbuomwan","Mickael Gelabale",2013,0.577868113245302,92.72
"James Bouknight","Jordan Hamilton",2013,0.578202550824616,92.75
"Isaiah Mobley","A.J. Price",2014,0.578597455641991,92.68
"Dru Smith","Brent Barry",1998,0.579135886813188,92.8
"David Duke Jr.","Tim Legler",1995,0.579548309008976,92.79
"Jaxson Hayes","Montrezl Harrell",2016,0.580338379398196,92.78
"Tristan Vukcevic","Alexis Ajinca",2011,0.580966983021882,92.57
"Tre Mann","Nando De",2014,0.581693807197345,92.64
"Malik Monk","O.J. Mayo",2015,0.581774721462918,92.8
"Darius Garland","Nick Van",1996,0.582072855750452,92.75
"Jordan Clarkson","Richard Hamilton",2010,0.584445443356067,92.74
"Marvin Bagley III","Cedric Ceballos",1998,0.585070485220673,92.8
"Jaden Ivey","MarShon Brooks",2012,0.585827325515476,92.56
